id,nombre,cct,nivel,tipo,sector,direccion,telefono,gmail,lat,lng,calificacion,imagen,descripcion,servicios
38,INSTITUTO XEL-BAALAM,23PBH0051J,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA FRANCISCO I MADERO CALLE 7 CALLE 3 CALLE 22 PONIENTE 295  77524,,,21.17761,-86.82702,,,,[BACHILLERATO GENERAL]
39,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM.272,23DCT0272J,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA ARCO NORTE CALLE ISLA MAGDALENA AVENIDA ISLA SAONA CALLE ISLA HOLBOX 295  77524,,,21.178679,-86.909912,,,,[TECNOLoGICO]
40,PREPARATORIA UCIEP,23PBH0112G,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE 79 AVENIDA MIGUEL HIDALGO AVENIDA FRANCISCO I. MADERO CALLE 71 89 92 77516,,,21.167985,-86.850784,,,,[BACHILLERATO GENERAL]
41,PLANTEL CANCUN CUATRO,23ECB0023M,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CHETUMAL CALLE KANLOL ANDADOR TULIPANES CALLE CHUNUP 307 PADRO NORTE 77519,,,21.16023,-86.8316,,,,[BACHILLERATO GENERAL]
42,BACHILLERATO UNID,23PBH0030X,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA NICHUPTE AVENIDA HUAYACAN AVENIDA KABAH AVENIDA LA LUNA 295  77515,,,21.14087,-86.83522,,,,[BACHILLERATO GENERAL]
43,INSTITUTO DEL CARIBE,23PBH3388O,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,BOULEVARD CUMBRES CANCUN AVENIDA HUAYACAN CALLE MONTE VISION PRIVADA RESIDENCIAL CUMBRES 295  77560,,,21.11261,-86.84288,,,,[BACHILLERATO GENERAL]
44,MONTEVERDE INTERNATIONAL HIGH SCHOOL,23PBH0053H,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA BONAMPAK AVENIDA BANCO CHINCHORRO AVENIDA CABO CATOCHE AVENIDA TULUM 295  77560,,,21.13439,-86.82574,,,,[BACHILLERATO GENERAL]
45,TELEBACHILLERATO COMUNITARIO COLONIA TRES REYES,23ETK0040A,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 6 DE ENERO CALLE JOSE VALDEZ   295  77511,,,21.10211,-86.94449,,,,[BACHILLERATO GENERAL]
46,JOSE MARTI,23PCT0003U,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA ANDRES QUINTANA ROO CALLE NACHI COCOM AVENIDA TEPICH PRIVADA  295  77500,,,21.17186,-86.82617,,,,[TECNOLoGICO]
47,UNIVERSIDAD LA SALLE CANCUN,23PBH3135L,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,    295  77500,,,21.05262,-86.84643,,,,[BACHILLERATO GENERAL]
48,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD CANCUN IV,23ETC0008J,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 110 CALLE 113 CALLE 143 NORTE CALLE 104 295  77500,,,21.1927,-86.8307,,,,[TECNOLoGICO]
49,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD CANCUN IV,23ETC0008J,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 110 CALLE 113 CALLE 143 NORTE CALLE 104 295  77500,,,21.1927,-86.8307,,,,[TECNOLoGICO]
50,PLANTEL CONALEP CANCÚN IV,23DPT0008O,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA EL CEDRAL    351 SACBE 77518,,,21.195022,-86.887402,,,,[PROFESIONAL TeCNICO BACHILLER]
51,PLANTEL CONALEP 298. CANCUN III,23DPT0006Q,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE MIRLO CALLE PINZON CALLE RUISEÑOR  254 GALAXIAS DEL SOL 77518,,,21.18612,-86.88329,,,,[PROFESIONAL TeCNICO BACHILLER]
52,CANCUN DOS,23ECB0013F,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA FRANCISCO I. MADERO CALLE 137 NORTE CALLE 139 NORTE CALLE 36 PONIENTE 295  77538,,,21.15106,-86.8806,,,,[BACHILLERATO GENERAL]
